candidato,bocaurna,conteorapido
Jorge Munoz,34.5,43.66
Jaime E Salinas,3.8,2.80
Julio Gago Perez,0.8,0.65
Enrique Cornejo,2.0,2.5
Enrique Fernandez Chacon,1.6,1.38
Ditel Columbus,2.8,2.51
Gustavo Guerra,0.7,0.76
Juan Carlos Zurek,3.8,3.27
Alberto Beingolea,4.3,5.36
Ricardo Belmont C.,3.8,3.47
Enrique Ocrospoma,0.6,0.57
Renzo Reggiardo,9.4,6.41
Jorge Villacorta,0.4,0.32
Daniel Urresti,19.8,16.90
Humberto Lay Sun,2.0,2.13
Manuel Velarde,1.9,1.61
Luis Castaneda Pardo,2.7,2.10
Jose Luis Gil,0.0,0.0
La Capunay,2.1,1.74
Roberto Gomez Baca,0.7,0.88
Pablo Silva,2.3,1.42